scenario,workload,memused,cpuused
"1_m3_medium",10000000,0.5577428338992055,100.0
"1_m3_medium",10000000,0.4976818608203349,100.0
"1_m3_medium",10000000,0.47713924607555847,100.0
"1_m3_medium",10000000,0.2555079152934926,100.0
"1_m3_medium",10000000,0.059540066244407,100.0
"1_m3_medium",10000000,0.16729410690419466,100.0
"1_m3_medium",10000000,0.13468762192540448,100.0
"1_m3_medium",10000000,0.02164980118376597,100.0
"1_m3_medium",10000000,0.13573773689846674,100.0
"1_m3_medium",10000000,0.17595548010592463,100.0
"1_m3_medium",10000000,0.5784836422802022,97.7049181
"1_m3_medium",10000000,0.26530552949868424,100.0
"1_m3_medium",10000000,0.443786681387646,100.0
"1_m3_medium",10000000,0.34289781924740376,100.0
"1_m3_medium",10000000,0.3899029162481426,83.931623
"1_m3_medium",10000000,0.26930883341772993,100.0
"1_m3_medium",10000000,0.23298440184953056,100.0
"1_m3_medium",10000000,0.25288989150195496,100.0
"1_m3_medium",10000000,0.5255586777682774,92.066116
"1_m3_medium",10000000,0.2504430821081992,100.0
"1_m3_medium",10000000,0.29740874791429733,100.0
"1_m3_medium",10000000,0.02164046221661423,100.0
"1_m3_medium",10000000,0.282118783360866,100.0
"1_m3_medium",10000000,0.27389841694130146,100.0
"1_m3_medium",10000000,0.4331724263881856,100.0
"1_m3_medium",10000000,0.46693798095680833,100.0
"1_m3_medium",10000000,0.41177789030656714,100.0
"1_m3_medium",10000000,0.22125880975901313,100.0
"1_m3_medium",10000000,0.12671318164083578,100.0
"1_m3_medium",10000000,0.5925491644737388,23.846149999999994
"1_m3_medium",10000000,0.5547730423449524,52.38095
"1_m3_medium",10000000,0.27048139262678167,100.0
"1_m3_medium",10000000,0.4702678415779119,100.0
"1_m3_medium",10000000,0.24824427417547296,100.0
"1_m3_medium",10000000,0.24814569618887128,100.0
"1_m3_medium",10000000,0.10668109710035446,100.0
"1_m3_medium",10000000,0.14270460639366445,100.0
